@relation traffic 
@attribute srcIP {10.0.2.15,91.144.166.4,217.69.128.55}
@attribute dstIP {91.144.166.4,10.0.2.15,217.69.128.55}
@attribute length {71,354,74,60,54,1294,1514,642,1110,278,82}
@attribute protocol {UDP,TCP}
@attribute srcCountry {@@,RU,DE}
@attribute dstCountry {RU,@@,DE}
@data
10.0.2.15,91.144.166.4,71,UDP,@@,RU
91.144.166.4,10.0.2.15,354,UDP,RU,@@
10.0.2.15,217.69.128.55,74,TCP,@@,DE
217.69.128.55,10.0.2.15,60,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
10.0.2.15,217.69.128.55,1294,TCP,@@,DE
217.69.128.55,10.0.2.15,60,TCP,DE,@@
217.69.128.55,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,1110,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
217.69.128.55,10.0.2.15,278,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
10.0.2.15,91.144.166.4,82,UDP,@@,RU
217.69.128.55,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.55,54,TCP,@@,DE
