@relation traffic 
@attribute srcIP {10.0.2.15,91.144.166.4,213.180.204.8,217.69.128.52,94.100.182.110,217.73.200.169,94.100.189.180,94.100.179.174,94.100.182.66,94.100.188.21,77.88.21.90,93.158.134.90,91.192.149.129,91.192.149.52,217.69.130.42,88.212.196.77,94.100.182.16,94.100.178.215}
@attribute dstIP {91.144.166.4,10.0.2.15,213.180.204.8,217.69.128.52,94.100.182.110,217.73.200.169,94.100.189.180,94.100.179.174,94.100.182.66,94.100.188.21,77.88.21.90,93.158.134.90,91.192.149.129,91.192.149.52,217.69.130.42,88.212.196.77,94.100.182.16,94.100.178.215}
@attribute length {65,156,98,86,151,74,60,54,1120,1514,642,886,1210,1438,1494,82,539,1174,90,1194,1250,662,326,183,78,187,573,70,492,75,114,556,1098,1097,283,244,552,553,554,551,341,76,110,558,1095,560,564,1151,567,566,547,546,792,238,113,511,543,72,304,738,444,918,1115,369,80,276,587,569,850,1299,544,77,209,575,574,510,251,214,400,104,1118,307,647,317,115,96,489,467,471,468,629,291,1187,278,266,1145,97,1110,373,665,463}
@attribute protocol {UDP,ICMP,TCP}
@attribute srcCountry {@@,RU,DE}
@attribute dstCountry {RU,@@,DE}
@data
10.0.2.15,91.144.166.4,65,UDP,@@,RU
91.144.166.4,10.0.2.15,156,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
