@relation traffic 
@attribute srcIP {10.0.2.15,91.144.166.4,217.69.128.54,192.150.8.45,94.100.182.15,217.73.200.169,94.100.179.183,77.88.21.90,91.192.148.145,91.192.148.36,88.212.196.77,94.100.178.215,66.235.133.11,213.180.204.8,74.125.87.106,74.125.87.102,74.125.2.18,195.248.234.174,77.221.130.28,77.221.140.2,209.85.229.104,94.100.182.110,94.100.179.158,94.100.182.66,94.100.188.41,68.177.102.20,68.177.102.30,74.125.43.139,92.123.244.20}
@attribute dstIP {91.144.166.4,10.0.2.15,217.69.128.54,192.150.8.45,94.100.182.15,217.73.200.169,94.100.179.183,77.88.21.90,91.192.148.145,91.192.148.36,88.212.196.77,94.100.178.215,66.235.133.11,213.180.204.8,74.125.87.106,224.0.0.251,74.125.87.102,74.125.2.18,220.181.6.184,195.248.234.174,77.221.130.28,77.221.140.2,209.85.229.104,94.100.182.110,94.100.179.158,94.100.182.66,94.100.188.41,68.177.102.20,68.177.102.30,74.125.43.139,92.123.244.20}
@attribute length {71,73,354,74,60,54,1274,112,554,1514,642,82,1474,1110,1494,98,704,1314,326,78,187,749,492,70,86,1298,477,231,244,1342,393,72,304,1357,1206,418,369,80,276,1172,886,77,209,236,76,307,291,981,763,1347,266,317,97,864,75,297,1155,308,630,1184,631,65,156,151,166,146,91,211,1166,880,89,140,770,288,929,757,289,261,781,1270,194,137,767,1267,1339,320,69,253,1320,505,846,550,573,1101,1185,1060,564,569,1028,1387,822,1425,135,1163,319,88,164,677,138,133,85,160,117,87,121,1158,678,539,278,258,950,1496,436,1135,1136,1123,341,1145,792,110,1201,238,807,705,444,885,1085,587,850,216,1104,594,575,251,214,648,1237,153,581,547,157,738,701,948,920,766,1176,239,928,924,931,926,944,954,946,227,228,1478,619,881,977,975,979,976,81,226,199,612,615,518,608,607,84,1296,190,1230,224,476,636,311,828,403,340,912,1026,1013,621,240,169,538,359,458,843,500,79,1131}
@attribute protocol {UDP,TCP,ICMP}
@attribute srcCountry {@@,RU,DE,US,UA,EU}
@attribute dstCountry {RU,@@,DE,US,CN,UA,EU}
@data
10.0.2.15,91.144.166.4,71,UDP,@@,RU
10.0.2.15,91.144.166.4,73,UDP,@@,RU
91.144.166.4,10.0.2.15,354,UDP,RU,@@
10.0.2.15,217.69.128.54,74,TCP,@@,DE
217.69.128.54,10.0.2.15,60,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
10.0.2.15,217.69.128.54,1274,TCP,@@,DE
217.69.128.54,10.0.2.15,60,TCP,DE,@@
91.144.166.4,10.0.2.15,112,UDP,RU,@@
10.0.2.15,192.150.8.45,74,TCP,@@,US
192.150.8.45,10.0.2.15,60,TCP,US,@@
10.0.2.15,192.150.8.45,54,TCP,@@,US
10.0.2.15,192.150.8.45,554,TCP,@@,US
192.150.8.45,10.0.2.15,60,TCP,US,@@
217.69.128.54,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
10.0.2.15,91.144.166.4,82,UDP,@@,RU
217.69.128.54,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,1474,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,1110,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
217.69.128.54,10.0.2.15,1494,TCP,DE,@@
10.0.2.15,217.69.128.54,54,TCP,@@,DE
91.144.166.4,10.0.2.15,98,UDP,RU,@@
10.0.2.15,94.100.182.15,74,TCP,@@,@@
